,h24,h18,uL14,uL15,uL29,h19,h25,h31,h27,h33,h8,uL16,h9,h32,h26,h22,h36,h109,uL13,h108,h37,h23,h35,h21,uL11,uL10,h20,h34,h90,h84,h53,h47,bL27,bL33,bL32,h46,h52,h85,h91,h87,h93,h44,h50,h78,bL25,bL19,h79,h51,h45,h92,h86,h82,h96,h69,h41,h55,bL35,bL21,bL20,bL34,h54,h40,h68,h97,h83,h95,h81,h56,h42,bL36,h43,h57,h80,h94,h99,h72,h66,uL4,bL9,uL5,h67,h73,h98,h65,h71,h59,uL6,h58,h70,h64,h48,h60,h74,bL28,uL2,uL3,h75,h61,h49,h88,h77,h63,bL17,h62,h76,h89,h11,h39,h2,h106,h112,h107,h3,h38,h10,h12,h1,h111,h105,uL22,uL23,h104,h110,h13,h4,h100,h101,h5,h16,h28,h14,h7,uL30,uL24,h103,uL18,h102,h6,h29
B1,1.116379183,1.071545988,0,0.177484601,0.181534806,1.153584843,1.023744876,0.397738719,0.947314706,0.074507529,0.855308219,0.003653662,0.840534556,0.720700994,0.942788074,0.5868299,1.006520548,0,0.744635713,0,0.585959858,1.011114683,0,0.40940902,0,0,1.181209914,0,0,0,0,0.037246768,0.001734567,0,0.043658164,1.106512547,0,0,0,0,0,0,0.016930349,0,0,0,0,0,0.834018265,0,0.019080235,0,0,0,0.943876744,0,0.087245913,0.787553141,0.999813348,0.368728465,0,0.945536898,0,0,0,0,0.006868885,0,0.001000046,0,0,0,0.00972012,0.075759756,0.003967178,0.202593505,0,0.820225624,0.102739726,0,0,0.066918514,0.003339041,0,0,0,0,0,0,0,0,0,0,0.141681396,0,0,0.001543074,0.011155961,0,0,0,0,0,0,0,0,0.910899654,0.530777442,1,0,0.00606078,0,1.173089619,0.138851214,0.529053665,0.740938693,0.069127752,0,0,0.70663924,0.009427881,0.139615429,0,0.946584536,0.995988258,0,0,1.018407534,0.863121656,1.076687117,0.923208228,1.085994332,0.011171513,0.972761105,0.101535964,0,0.15927226,1.06597312,0.79260488
B2,1.146330162,1.094236283,0,0.201063607,0.981540852,1.155765152,1.028159541,0.318517199,0.977256582,0.34629243,0.887543253,0.007383179,0.885787132,0.760426555,0.957337676,0.57618587,0.997536332,0,0.726570107,0,0.598808686,1.021610683,0,0.40799238,0,0,1.175920555,0.008387658,0,0,0.886469395,0.629504362,0.001752573,0,0.035289091,1.102283993,0.27593144,0,0,0,0,0,0.834777523,0,0,0,0,0.87397129,0.785697809,0,0.027540428,0,0,0,0.905991034,0.142646478,0.097946199,0.780023267,0.972777514,0.339026047,0.297211972,0.898091305,0,0,0,0,0.006940188,0,0,0,0,0,0.003273674,0.012757698,0,0.075055402,0,0.839456544,0.093425606,0,0,0.025041915,0,0,0,0,0,0,0,0,0.614368967,0.423775858,0,0.120549168,0.000798509,0,0.001559092,0.002817942,0.686176764,0,0,0,0,0,0,0,0.922456628,0.518542444,1,0,0.004082463,0.42888192,1.18526702,0.121968648,0.615766277,0.780486698,0.046563561,0,0.738962772,0.702333706,0.714431101,0.175470755,0,0.929239915,1.037172516,0,0,1.034602076,0.852938147,1.095314921,0.932791704,1.100059659,0.009029984,1.000410025,0.182014463,0,0.094126298,1.111412156,0.622448097
G1,1.174364814,1.106181818,0.069347217,0.122782184,0.953365492,1.16313783,0.088137642,0.02815508,0.629729079,0.068564989,0.852954545,0,0.906889952,0.022590507,0.335358289,0.567831067,0.017018182,0,0,0,0,0.838621595,0,0.418837834,0,0,1.235785602,0.019392265,0,0,1.081974922,0.88806146,0,0,0.123618754,0.011796337,0.641606765,0,0.004750733,0,0,0,0.974350832,0,0,0.446662351,0.020085837,1.138378378,0,0,0,0,0.822118934,0,0,0.867327639,0.120087977,0,0.027221025,0.109626325,0.827129909,0,0,0.126720313,0,0.294013304,0,0.971054062,0,0,0,1.022208076,0,0.879511077,0.817209721,0.007170582,0.123804325,0.668213904,0.007272727,0,0,0.050001874,0.677181818,0,0,0.98333534,0,0.823658199,0,0.365863192,0.884497608,0.863152387,0,0.039589443,0.021818182,0.305480396,0,0.624855516,0.757164869,0.00371576,0,0.796684492,0.657520661,0.264845455,0,0,0.693387858,0,1,0.585399863,0,0.642170455,0.999561884,0,0.512133465,0.786742176,0.40370607,0,0.876538883,0.570897473,0.630673797,0.50259078,0,0.7795241,1.025142857,0.819109653,0.922976628,1.105,0.73765324,1.057110987,0.900256483,1.117918495,0,0.874272202,0.00347783,0,0,1.11380789,0.115670455
C1,1.069507167,1.033246753,0.027766653,0.208867195,0.969573284,1.105571848,0.988374797,0.231729055,0.943106562,0.195341848,0.789772727,0.007184305,0.884142174,0.679806919,0.862032086,0.556012885,0.961212121,0,0.667256637,0,0.53329957,0.934361667,0.009416878,0.356567227,0,0,1.137414609,0.024485183,0,0,0.967868339,0.732394366,0,0,0.211754347,1.068223828,0.699788584,0,0.004398827,0,0,0,0.848911652,0,0,0.302968649,0.015216543,1.03009828,0.77037037,0,0.026798598,0,0.700501253,0,0.914339702,0.801098231,0.101661779,0.751371473,0.893364929,0.235638595,0.778357594,0.920821114,0,0.185189213,0,0.326681449,0,0.859861069,0,0,0,0.910284464,0,0.864018335,0.799579958,0.590909091,0.005458744,0.813368984,0.037037037,0,0,0.233926898,0.804292929,0,0,0.928757776,0,0.706820001,0,0.144358898,0.680754918,0.73969915,0,0.092375367,0,0.289853511,0,0.108310483,0.694401644,0.001720259,0,0.552287582,0.545785124,0.026590909,0,0,0.85467128,0.518004723,1,0.488721805,0.003972498,0.531818182,1.124863089,0.114782907,0.566096423,0.755588674,0.766482719,0,0.854326396,0.592796979,0.750802139,0.274530003,0,0.864551556,1.001731602,0.633552015,0.782459157,0.984848485,0.751313485,1.058561071,0.937304075,1.054127482,0.013180128,0.956384656,0.157790438,0,0.469772727,1.064751286,0.561363636
C2,1.083725919,1.04548418,0.510229725,0.23715148,1.02881797,1.116110089,1.018194614,0.308897552,0.975043335,0.807948306,0.866401007,0.011933661,0.903315335,0.721825444,0.882234505,0.588926174,0.983114094,0,0.785929797,0,0.58072386,0.986504494,0.656969438,0.42131577,0,0,1.130193583,0.771135378,0.021845793,0,0.927389493,0.806248228,0.001699643,0,0.501941921,1.092942475,0.863898861,0,0.021920329,0,0,0,0.889195576,0,0,0.594318174,0.00505516,1.018683113,0.767785235,0.028658208,0.010683468,0,0.740954736,0,0.924872514,0.881412999,0.104486902,0.802158065,0.935024969,0.560021822,0.80065492,0.929421953,0,0.253604573,0,0.475609756,0,0.933281679,0.001959821,0,0,0.971663754,0,0.871016863,0.785234899,0.721269135,0.727657052,0.852210817,0.036912752,0,0.426096457,0.490569432,0.81795302,0.543863222,0.001633637,0.938641717,0,0.859106077,0,0.813370352,0.768014836,0.902455217,0.004006301,0.130060619,0.540526588,0.436810172,0,0.799354552,0.771925833,0.00514346,0,0.894295302,0.695289811,0.774437919,0,0.002797749,0.859954483,0.523914844,1,0.850179139,0.003959168,0.776646393,1.12108838,0.117174373,0.60449654,0.776224007,0.824120334,0,0.865650522,0.745095096,0.946900908,0.720725517,0,0.882730508,1.017066155,0.749818377,0.760590812,0.970637584,0.754980665,1.036943632,0.900927816,1.050590141,0.0131359,0.966792101,0.686813086,0,0.665486577,1.033398759,0.62573406
C3,1.082628184,0.982250489,0.430692173,0.384549968,0.98126922,1.090573906,0.977630242,0.374169017,0.93139345,0.772394713,0.884203767,0,0.849572562,0.654215663,0.862651088,0.631788642,0.903945205,0,0.672299673,0,0.452026176,0.985077395,0.624972712,0.523445323,0,0,1.122149418,0.639214221,0.031584129,0,0.904995276,0.761865715,0,0,0.448223822,1.079849594,0.840793246,0,0.028336279,0,0,0,0.86006174,0,0,0.461011859,0.515903345,0.970578027,0.697488584,0.017548245,0.005451496,0,0.68538212,0,0.875862096,0.857169946,0.067857932,0.691699634,0.806117315,0.431412304,0.713606547,0.820260716,0.012213391,0.322081667,0,0.460950551,0,0.880575024,0.04300196,0,0,0.896938041,0,0.853559917,0.801369863,0.651675773,0.689862856,0.784871072,0.037671233,0,0.518716152,0.587395848,0.794691781,0.532836954,0.00666882,0.875669056,0,0.752607566,0.026131626,0.685210388,0.745133381,0.834520055,0.002044311,0.187914273,0.459167545,0.384543595,0.283925651,0.744660395,0.651961922,0.209965903,0,0.801369863,0.576986301,0.689678938,0.063266042,0.005710474,0.817314073,0.403937244,1,0.750154496,0.00202026,0.713720034,1.129641855,0.157553622,0.710390081,0.803997305,0.7642457,0,0.839990097,0.698958379,0.857937147,0.698077147,0,0.844396433,0.988356164,0.715656334,0.706969458,0.962756849,0.701023199,0.984505,0.832771503,1.050070855,0.033514539,0.91370061,0.671447501,0,0.595017123,1.06597312,0.871489726
C4,1.04514668,0.977975035,0.528762671,0.429465042,0.959738458,1.09011901,0.961611998,0.584665905,0.914003729,0.823778384,0.901092233,0.002301768,0.875428863,0.716234213,0.850828098,0.822872869,0.936,0.012068232,0.717742074,0.027113724,0.509424778,0.959587817,0.737670677,0.706639086,0,0,1.099809192,0.699753259,0.040380547,0,0.920488785,0.79354574,0.001639138,0.020821387,0.563835539,1.047736123,0.910363513,0.004580332,0.049326652,0.035497573,0.08632225,0,0.879939833,0.005163283,0,0.553516578,0.810908788,1.005444765,0.746062567,0.033165615,0.061818902,0.029504476,0.761551938,0.340068224,0.895883316,0.941519515,0.082445976,0.746673083,0.872129941,0.543570195,0.756709588,0.86533041,0.585577073,0.429367771,0.0052589,0.609519299,0.030291262,0.911379544,0.022680646,0.009964231,0,0.942044996,0.006123571,0.892510402,0.806017495,0.74026399,0.869649544,0.791804683,0.223300971,0,0.827726349,0.686237614,0.782524272,0.707328944,0.244199669,0.910242397,0.001587592,0.823975685,0.765512875,0.814016002,0.82370976,0.878501083,0.113978601,0.456623865,0.633308439,0.434719091,0.672221045,0.790665195,0.789369755,0.500996312,0.123138961,0.861222159,0.680176523,0.800825243,0.261916928,0.001349076,0.862750697,0.497888034,1,0.85407694,0.051546055,0.841292476,1.081179085,0.205119402,0.763170212,0.826802483,0.762120413,0.023856204,0.862206106,0.653246068,0.88201028,0.778734289,0.015145631,0.950413762,0.941192788,0.796316685,0.758909416,0.97289644,0.722136262,0.975638811,0.836807986,1.018413124,0.063341394,0.869998316,0.761408428,0.003572083,0.698592233,1.066266716,0.986832524
E1,1.108590491,0.998277886,0.365382294,0.492116392,1.040145373,1.153584843,0.971481624,0.748338034,0.979157217,0.235940507,0.941994863,0.007307324,0.903800597,0.699425688,0.914504432,0.837652357,0.945616438,0.667276101,0.76803855,0.57988573,0.612746594,0.980737847,0,0.656176101,0,0.002636085,1.170787473,0.023244153,0.026010459,0.460938305,0.949899622,0.802498553,0.395481231,0.061204419,0.535540151,1.090959157,0.847244345,0.60829789,0.068603624,0.7606753,0.078891334,0.126641351,0.897308509,0,0.236791221,0.536828133,0.663795638,1.047736949,0.777625571,0.078967103,0.643276489,0.614036648,0.769736842,0,0.961921446,0.871288039,0.119559213,0.782371871,0.931450042,0.320793764,0.759001366,0.859036677,0.008999341,0.644163335,0.609375,0.662921818,0.54035225,0.872587949,0.407018554,0.077325162,0.03005137,0.952174695,0.26568327,0.974775527,0.880713414,0.752972526,0.076342972,0.848509267,0.143835616,0.271600214,0.003106085,0.612180483,0.908219178,0.009514946,0,0.93139345,0.030240372,0.71026136,0,0.420914952,0.794340303,0.791280674,0.245317305,0.413113124,0.061643836,0.444361488,0.586368192,0.659596192,0.679127003,0.706885207,0,0.758158743,0.683349938,0.306523973,0.189798125,0.06709807,0.935855809,0.554194094,1,0.524204346,0.567693105,0.570976027,1.144124443,0.424487997,0.813209698,0.902526387,0.848735174,0.635011176,0.839990097,0.64519235,0.923932313,0.65380884,0.649726027,0.951962857,1.011252446,0.824089112,0.837200674,1.03510274,0.764178442,1.03981427,0.915671834,1.097047709,0.529529714,0.983183546,0.304607891,0.495186095,0.634083904,1.128343887,1.021746575
E2,1.048175953,0.935140101,0.517075796,0.54789702,1.008845725,1.074006846,0.969860445,0.677723662,0.949234471,0.834803752,0.895297428,0.003430448,0.920714165,0.686658794,0.880764138,0.804250956,0.908913183,0.553067473,0.687158182,0.633783871,0.490429829,0.957491265,0.705947913,0.681031939,0,0,1.099260264,0.695253238,0.050587177,0.363477021,0.917812396,0.817055387,0.436463858,0.091944388,0.598467803,1.053515284,0.864129216,0.714487605,0.039207551,0.817071945,0.062376089,0,0.893356279,0,0.252062598,0.598178684,0.789547769,0.991353089,0.769131833,0.021968221,0.662838769,0.483693156,0.742511423,0.004692796,0.875786222,0.899485315,0.179001141,0.773492072,0.871870285,0.567770698,0.77741619,0.809355876,0.021727393,0.423906522,0.645297428,0.56277939,0.442847956,0.884896006,0.075115964,0.009900152,0,0.931047584,0.021294667,0.9033681,0.819458152,0.687949348,0.732428358,0.803310006,0.231511254,0.228385637,0.5482689,0.705094971,0.796302251,0.640244678,0.00156535,0.92681161,0.000788691,0.811447872,0.008178387,0.764665836,0.795312236,0.824134262,0.044146598,0.463489265,0.552065298,0.480063547,0.566481886,0.792127036,0.752411576,0.627557253,0.021994979,0.849536599,0.703162818,0.784389068,0.198945918,0.009382805,0.84939196,0.575301708,1,0.80615526,0.52352671,0.835882235,1.087823965,0.411325423,0.76703855,0.851088504,0.786065767,0.6345054,0.843063573,0.731978673,0.938301494,0.783318,0.51511254,0.921577937,0.978135048,0.785378062,0.755969842,0.956189711,0.743187616,0.979750656,0.820812628,1.017052888,0.509765835,0.92311767,0.738060401,0.557210459,0.679991961,1.075380695,0.95579783
E3,1.09847049,0.966472303,0.515418502,0.502122997,1.008704706,1.126481238,0.986246673,0.614495798,0.968543046,0.814007421,0.952806122,0.001209602,0.924581863,0.736928842,0.880192077,0.780250683,0.932816327,0.508943817,0.718439588,0.458952928,0.515462452,1.017166433,0.703959672,0.647998857,0,0,1.135218827,0.596938776,0.046131281,0.26331134,0.936576355,0.813854556,0.263583355,0.034041315,0.534787765,1.079124071,0.875652587,0.50547235,0.07554312,0.671556122,0.082478587,0,0.881115263,0,0.134816787,0.47852264,0.722475256,1.008342526,0.748752834,0.017428869,0.53331945,0.392790883,0.707649225,0.002482074,0.920912476,0.907427065,0.112327189,0.764184553,0.899651804,0.542005759,0.757444972,0.832455563,0.175570228,0.565520945,0.480867347,0.577526132,0.379766764,0.884500644,0.200634996,0.05236305,0,0.922185504,0.035397987,0.867818556,0.807738937,0.700900023,0.729285479,0.835714286,0.159863946,0.116349333,0.579971523,0.664632863,0.815816327,0.645764902,0.057955221,0.951412353,0.010011552,0.791457656,0.272515528,0.746659576,0.761009667,0.833137572,0.17258434,0.405859118,0.486656201,0.458313183,0.611498258,0.783914958,0.748702871,0.543935478,0,0.806322529,0.680148423,0.716326531,0.175540893,0.022686509,0.884047737,0.467085211,1,0.76300445,0.459492368,0.805867347,1.15072535,0.359683053,0.74083537,0.841585815,0.789561192,0.447462992,0.87742808,0.762861055,0.978511405,0.733913395,0.428571429,0.921449117,1.004373178,0.772328003,0.745275238,0.983843537,0.685800064,0.970483285,0.834591517,1.075862069,0.472668993,0.945440604,0.689651337,0.339141317,0.62380102,1.069984598,0.936447704
